編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLQLKHOFFDP07CA,12,23.24,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,七層
RPSNMLQLKHOFFDP07CA,12,9.68,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,
RPSNMLQLKHOFFDP07CA,12,1.57,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,
RPRNMLNLKHOFFFP86CA,18,46.26,見其他登記事項,鋼筋混凝土造,90年4月9日,九層,
RPRNMLNLKHOFFFP86CA,18,97.42,住家用,鋼筋混凝土造,90年4月9日,九層,七層
RPRNMLNLKHOFFFP86CA,18,3.57,見其他登記事項,鋼筋混凝土造,90年4月9日,九層,
RPRNMLNLKHOFFFP86CA,18,13.07,見其他登記事項,鋼筋混凝土造,90年4月9日,九層,
RPUNMLQLKHOFFDP27CA,12,26.50,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,七層
RPUNMLQLKHOFFDP27CA,12,11.05,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,
RPUNMLQLKHOFFDP27CA,12,1.78,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,
RPVNMLNLKHOFFEP17CA,27,457.60,住家用,鋼筋混凝土造,80年9月20日,五層,一層 二層 三層 四層 五層
RPPNMLMLMHOFFCP09CA,12,139.17,見其他登記事項,鋼筋混凝土造,96年2月9日,八層,四層
RPPNMLMLMHOFFCP09CA,12,22.71,共有部份,鋼筋混凝土造,96年2月9日,八層,
RPPNMLMLMHOFFCP09CA,12,25.46,共有部份,鋼筋混凝土造,96年2月9日,地下層,
RPTNMLQLKHOFFDP17CA,12,22.78,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,七層
RPTNMLQLKHOFFDP17CA,12,9.48,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,
RPTNMLQLKHOFFDP17CA,12,1.53,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,
RPPNMLMLKHOFFEP09CA,24,125.15,住家用,鋼筋混凝土造,83年8月19日,三層,一層 二層 三層
RPWNMLPLKHOFFDP47DA,15,107.29,見其他登記事項,鋼筋混凝土造,92年12月23日,四層,一層 二層 三層 四層
RPVNMLPLKHOFFDP37DA,23,37.63,住家用,鋼筋混凝土造,85年5月13日,八層,六層
RPVNMLPLKHOFFDP37DA,23,4.91,共有部份,鋼筋混凝土造,85年5月13日,八層,
RPVNMLPLKHOFFDP37DA,23,5.43,共有部份,鋼筋混凝土造,85年5月13日,八層,
RPPNMLRLKHOFFEP96CA,25,178.93,住家用,鋼筋混凝土造,83年4月16日,三層,一層 二層 三層 電梯樓梯間
RPRNMLQLKHOFFDP96CA,21,168.56,住商用,鋼筋混凝土造,86年10月3日,九層,一層 二層 三層 騎樓
RPRNMLQLKHOFFDP96CA,21,16.32,共有部份,鋼筋混凝土造,86年10月3日,二層,
RPRNMLQLKHOFFDP96CA,21,66.76,共有部份,鋼筋混凝土造,86年10月13日,九層,
RPQNMLQLKHOFFDP86CA,21,190.89,住商用,鋼筋混凝土造,86年10月3日,九層,一層 二層 三層 騎樓
RPQNMLQLKHOFFDP86CA,21,19.58,共有部份,鋼筋混凝土造,86年10月3日,二層,
RPQNMLQLKHOFFDP86CA,21,73.71,共有部份,鋼筋混凝土造,86年10月13日,九層,
