編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLTJKHKFFHR47CA,16,6.38,共有部分,鋼筋混凝土造,88年5月19日,十四層,
RPTNMLOJKHKFFHR96CA,29,101.78,住家用,鋼筋混凝土造,74年11月7日,二層,一層 二層
RPUSMLMKKHKFFHR47CA,,186.20,住家用,見其他登記事項,103年8月7日,三層,屋頂突出物 一層 二層 三層
RPSSMLMKKHKFFHR27CA,,90.02,住家用,見其他登記事項,103年12月2日,五層,四層
RPSSMLMKKHKFFHR27CA,,11.66,見其他登記事項,見其他登記事項,103年12月2日,五層,
RPSSMLMKKHKFFHR27CA,,13.88,見其他登記事項,見其他登記事項,103年12月2日,五層,
RPQNMLOKKHKFFHR76CA,,223.04,住家用,見其他登記事項,103年9月23日,四層,一層 二層 三層 四層
RPRNMLOKKHKFFHR86CA,,107.70,住家用,見其他登記事項,103年9月23日,四層,一層 二層 三層 四層
RPRNMLOKKHKFFHR86CA,,107.70,住家用,見其他登記事項,103年9月23日,四層,一層 二層 三層 四層
RPTOMLOLKHKFFHR27CA,,196.15,住家用,見其他登記事項,103年9月2日,三層,一層 二層 三層 屋頂突出物
RPUOMLOLKHKFFHR37CA,,248.97,住家用,見其他登記事項,103年9月2日,三層,一層 二層 三層 屋頂突出物
RPSNMLOKKHKFFHR96CA,,212.83,住家用,見其他登記事項,103年9月23日,四層,一層 二層 三層 四層
RPPOMLPLKHKFFHR96CA,,207.99,住家用,見其他登記事項,103年9月17日,四層,一層 二層 三層 四層 屋頂突出物
RPQNMLQLKHKFFHR07CA,19,110.03,住家用,鋼筋混凝土造,84年12月22日,十一層,一層 夾層
RPQNMLQLKHKFFHR07CA,19,14.16,共有部分,鋼筋混凝土造,84年12月22日,十一層,
RPPOMLRKKHKFFHR07CA,25,148.04,住家用,鋼筋混凝土造,78年11月10日,二層,一層 二層 夾層
RPPNMLOJLHKFFHR66CA,31,104.72,住家用,加強磚造,73年2月11日,二層,一層 二層
RPSNMLKMLHKFFHR86CA,,172.71,住家用,見其他登記事項,103年12月1日,四層,一層 二層 三層 四層
RPXPMLMJKHKFFAD97DA,18,63.92,住家用,鋼筋混凝土造,85年10月16日,八層,
RPXPMLMJKHKFFAD97DA,18,10.76,共有部分,鋼筋混凝土造,85年10月16日,八層,
RPXPMLMJKHKFFAD97DA,18,10.49,共有部分,鋼筋混凝土造,85年10月16日,八層,
RPSNMLOJKHKFFBD57DA,23,174.44,住商用,鋼筋混凝土造,81年6月4日,三層,一層 二層 三層 屋頂突出物 夾層
RPTNMLOJKHKFFBR09DA,22,138.77,住家用,加強磚造,82年4月23日,三層,一層 二層 三層
RPXOMLNJKHKFFAD97DA,27,125.18,住家用,鋼筋混凝土造,76年9月1日,二層,一層 二層 屋頂突出物 騎樓
RPXOMLTJKHKFFAD58DA,40,95.88,住家用,加強磚造,64年6月12日,二層,一層 二層
RPQNMLNJKHKFFCD37DA,23,79.94,住家用,鋼筋混凝土構造,81年7月2日,七層,五層
RPQNMLNJKHKFFCD37DA,23,12.71,共有部分,鋼筋混凝土構造,81年7月2日,七層,
RPQNMLNJKHKFFCD37DA,23,21.99,共有部分,鋼筋混凝土構造,81年7月2日,七層,
RPTNMLOLKHKFFBD87DA,1,168.17,見其他登記事項,鋼筋混凝土造,103年5月8日,四層,一層 二層 三層 四層
RPRNMLOJKHKFFBR88DA,20,180.11,住商用,鋼筋混凝土造,83年6月6日,四層,一層 二層 三層 四層 騎樓
RPSNMLLKKHKFFAD27DA,23,133.45,住家用,鋼筋混凝土造,81年3月24日,十五層,六層
RPSNMLLKKHKFFAD27DA,23,26.18,共有部分,鋼筋混凝土造,81年3月24日,十五層,
RPSNMLLKKHKFFAD27DA,23,33.05,見其他登記事項,鋼筋混凝土造,81年3月24日,十五層,
RPSNMLLKKHKFFAD27DA,23,.01,共有部分,鋼筋混凝土造,81年3月24日,十五層,
RPQNMLMJLHKFFDR88DA,18,122.45,住家用,鋼筋混凝土造,85年9月16日,十三層,五層
RPQNMLMJLHKFFDR88DA,18,12.80,共有部分,鋼筋混凝土造,85年9月16日,十三層,
RPQNMLMJLHKFFDR88DA,18,17.20,共有部分,鋼筋混凝土造,85年9月16日,十三層,
RPRNMLMKKHKFFDR98DA,25,118.96,住家用,鋼筋混凝土造,78年8月9日,三層,一層 二層 三層
RPXPMLMKKHKFFHR57DA,22,104.00,住家用,鋼筋混凝土造,81年12月16日,六層,三層
RPXPMLMKKHKFFHR57DA,22,18.54,共有部分,鋼筋混凝土造,81年12月16日,六層,
RPQOMLOJKHKFFHR86DA,8,114.52,住家用,鋼筋混凝土造,95年12月15日,十四層,十三層
RPQOMLOJKHKFFHR86DA,8,60.64,共有部分,鋼筋混凝土造,95年12月15日,十四層,
RPSNMLPLKHKFFHR27DA,20,40.36,住家用,鋼筋混凝土造,84年2月21日,五層,一層
RPSNMLPLKHKFFHR27DA,20,11.92,共有部分,鋼筋混凝土造,84年2月21日,五層,
RPPNMLTJKHKFFDR76DA,20,48.40,住家用,鋼筋混凝土造,84年5月6日,五層,四層
RPPNMLTJKHKFFDR76DA,20,9.51,共有部分,鋼筋混凝土造,84年5月6日,五層,
RPQOMLMJKHKFFCD47EA,26,179.54,住家用,鋼筋混凝土構造,77年10月19日,四層,一層 二層 三層 四層
RPSNMLOJKHKFFCD77EA,15,89.46,國民住宅,鋼筋混凝土構造,88年10月21日,十三層,十層
RPSNMLOJKHKFFCD77EA,15,18.21,共有部分,鋼筋混凝土構造,88年10月21日,十三層,
RPSNMLOJKHKFFCD77EA,15,31.08,共有部分,鋼筋混凝土構造,88年10月21日,十三層,
RPUNMLMKKHKFFBD77EA,25,202.47,住家用,鋼筋混凝土造,79年1月11日,二層,一層 二層 屋頂突出物
RPQNMLPJLHKFFCD77EA,39,72.48,住家用,見其他登記事項,64年7月16日,二層,一層 二層
RPSNMLNJLHKFFBD67EA,27,119.73,住家用,加強磚造,76年12月2日,二層,一層 二層 屋頂突出物 騎樓
RPWOMLQLKHKFFFR77EA,19,95.68,住家用,鋼筋混凝土造,85年6月21日,十二層,六層
RPWOMLQLKHKFFFR77EA,19,.13,共有部分,鋼筋混凝土造,85年6月21日,十二層,
RPWOMLQLKHKFFFR77EA,19,59.17,共有部分,鋼筋混凝土造,85年6月21日,十二層,
RPQNMLPJKHKFFHR86DA,8,124.57,住家用,鋼筋混凝土造,95年12月15日,十層,十層
RPQNMLPJKHKFFHR86DA,8,70.07,共有部分,鋼筋混凝土造,95年12月15日,十四層,
RPXNMLPJKHKFFHR57DA,8,125.00,住家用,鋼筋混凝土造,95年12月15日,十層,十層
RPXNMLPJKHKFFHR57DA,8,70.34,共有部分,鋼筋混凝土造,95年12月15日,十四層,
RPXNMLNJKHKFFFR17DA,23,131.85,住家用,鋼筋混凝土造,81年1月17日,三層,
RPQOMLTJKHKFFHR37DA,21,33.86,住家用,鋼筋混凝土造,82年8月12日,七層,四層
RPXNMLOJKHKFFER17DA,36,126.81,見其他登記事項,加強磚造,67年8月2日,二層,騎樓 地下層 一層 二層
RPSNMLPLKHKFFAR56DA,21,82.80,住家用,鋼筋混凝土造,82年12月21日,十六層,七層
RPSNMLPLKHKFFAR56DA,21,27.68,共有部分,鋼筋混凝土造,82年12月21日,十六層,
RPUNMLNJKHKFFCD77DA,3,220.27,住家用,鋼筋混凝土構造,101年1月20日,四層,一層 二層 三層 四層 見其他登記事項
RPTOMLOJKHKFFCD87DA,15,89.46,見其他登記事項,鋼筋混凝土構造,88年10月21日,十三層,五層
RPTOMLOJKHKFFCD87DA,15,15.75,共有部分,鋼筋混凝土構造,88年10月21日,十三層,
RPTOMLOJKHKFFCD87DA,15,31.08,共有部分,鋼筋混凝土構造,88年10月21日,十三層,
RPOOMLNJKHKFFCD27DA,47,115.80,住家用,加強磚造,56年10月9日,二層,一層 二層 走廊
RPSNMLNJKHKFFAR78DA,1,203.12,住家用,鋼筋混凝土造,103年4月22日,四層,一層 二層 三層 四層
RPUNMLMJLHKFFAD57DA,29,65.62,住家用,鋼筋混凝土造,75年2月15日,五層,一層
RPUNMLMJLHKFFAD57DA,29,13.63,共有部分,鋼筋混凝土造,75年2月15日,五層,
RPTOMLOJKHKFFAD67DA,16,98.72,住家用,鋼筋混凝土造,87年12月3日,十四層,七層
RPTOMLOJKHKFFAD67DA,16,26.23,共有部分,鋼筋混凝土造,87年12月3日,十四層,
