編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLPKJILFFCN78CA,,180.50,住家用,鋼筋混凝土造,105年8月12日,四層,一層 二層 三層 四層
RPSOMLPKJILFFCN98CA,,180.20,住家用,鋼筋混凝土造,105年8月12日,四層,一層 二層 三層 四層
RPUNMLTJJILFFDN86CA,2,318.37,見其他登記事項,鋼筋混凝土造,103年9月30日,四層,一層 二層 三層 四層 屋頂突出物
RPUNMLRJJILFFDN66CA,25,99.67,住家用,鋼筋混凝土造,80年7月22日,十二層,八層
RPUNMLRJJILFFDN66CA,25,14.22,見其他登記事項,鋼筋混凝土造,80年7月22日,十二層,
RPUNMLRJJILFFDN66CA,25,1.56,見其他登記事項,鋼筋混凝土造,80年7月22日,十二層,
RPUNMLRJJILFFDN66CA,25,17.98,見其他登記事項,鋼筋混凝土造,80年7月22日,十二層,
RPWNMLMLKILFFDN66CA,1,206.85,見其他登記事項,鋼筋混凝土造,104年8月11日,三層,一層 二層 三層 見其他登記事項
RPPOMLLKJILFFFN58CA,2,199.72,見其他登記事項,鋼筋混凝土造,103年7月1日,三層,一層 二層 三層 見其他登記事項
RPVNMLSJJILFFFN07CA,36,111.66,住家用,加強磚造,69年5月9日,二層,一層 二層 騎樓
RPVNMLKKJILFFAN58DA,37,101.54,住商用,加強磚造,69年2月6日,二層,一層 二層 騎樓
RPPNMLSJJILFFFN56DA,37,96.64,住家用,加強磚造,68年9月20日,二層,一層 二層
RPQNMLSJJILFFCN98DA,20,168.99,農舍,鋼筋混凝土造,85年9月16日,三層,一層 二層 三層
RPPNMLSJJILFFDN98DA,38,193.05,住家用,鋼筋混凝土加強磚造,68年1月26日,三層,一層 二層 三層 騎樓
RPQNMLOKJILFFFN88CA,23,137.53,住家用,鋼筋混凝土造,82年10月21日,三層,一層 二層 三層
RPTOMLSJJILFFAN56DA,23,54.20,住家用,鋼筋混凝土造,82年12月24日,八層,七層
RPTNMLMLJILFFGN66DA,,216.12,住家用,鋼筋混凝土造,105年5月27日,四層,一層 二層 三層 四層
RPSRMLTJJILFFHN47CA,,170.40,住家用,鋼筋混凝土造,105年7月26日,三層,一層 二層 三層 屋頂突出物
RPSNMLSJJILFFDN56CA,16,88.17,見其他登記事項,鋼筋混凝土造,89年5月25日,十四層,八層
RPSNMLSJJILFFDN56CA,16,27.59,見其他登記事項,鋼筋混凝土造,89年5月25日,十四層,
