編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLTKRHNFFAV38CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.69,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,2.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPRNMLLKIINFFAV09CA,44,53.50,住家用,見其他登記事項,63年5月1日,一層,一層
RPPNMLLLRHNFFAV17CA,42,35.69,住家用,見其他登記事項,65年7月15日,一層,一層
RPPNMLLLRHNFFCV47DA,20,187.58,住家用,鋼筋混凝土造,87年8月7日,三層,一層 二層 三層
RPQOMLOJIINFFAV66CA,39,103.60,住家用,鋼筋混凝土造,69年1月8日,二層,一層 二層 騎樓
RPPNMLRLRHNFFAV77CA,24,78.36,見其他登記事項,鋼筋混凝土造,83年4月19日,十四層,十層
RPPNMLRLRHNFFAV77CA,24,24.52,見其他登記事項,鋼筋混凝土造,83年4月19日,十四層,
RPPNMLQLRHNFFAV67CA,32,134.88,住家用,加強磚造,75年12月26日,二層,一層 二層
RPTNMLPLRHNFFAV97CA,4,225.99,見其他登記事項,見其他登記事項,103年9月17日,三層,一層 二層 三層 見其他登記事項
RPPNMLLJIINFFAV78CA,3,205.73,住家用,見其他登記事項,105年1月5日,三層,一層 二層 三層 見其他登記事項
RPPNMLSLRHNFFAV87CA,25,23.83,見其他登記事項,鋼筋混凝土造,83年1月26日,七層,五層
RPPNMLSLRHNFFAV87CA,25,.57,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPPNMLSLRHNFFAV87CA,25,.58,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPPNMLSLRHNFFAV87CA,25,.57,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPPNMLSLRHNFFAV87CA,25,.57,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPPNMLSLRHNFFAV87CA,25,.57,共有部分,鋼筋混凝土造,83年1月26日,七層,
