編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLSKQHMFFCT38CA,38,100.00,住商用,加強磚造,68年5月12日,二層,一層 二層 騎樓
RPRNMLSLQHMFFCT87CA,23,105.60,住家用,鋼筋混凝土造,83年4月7日,十層,六層
RPRNMLSLQHMFFCT87CA,23,32.51,見其他登記事項,鋼筋混凝土造,83年4月7日,十層,
RPRNMLSLQHMFFCT87CA,23,17.07,見其他登記事項,鋼筋混凝土造,83年4月7日,十層,
RPTOMLLKQHMFFCT37CA,24,73.05,住家用,鋼筋混凝土造,82年12月8日,七層,四層
RPTOMLLKQHMFFCT37CA,24,23.54,見其他登記事項,鋼筋混凝土造,82年12月8日,七層,
RPTPMLOJRHMFFAT57CA,,295.51,住商用,鋼筋混凝土造,106年1月24日,四層,一層 二層 三層 四層 騎樓
RPXNMLTJQHMFFCT38CA,36,96.40,住家用,加強磚造,70年5月27日,二層,一層 二層
RPOOMLTLQHMFFCT77CA,1,37.38,見其他登記事項,見其他登記事項,105年11月4日,七層,七層
RPOOMLTLQHMFFCT77CA,1,22.14,見其他登記事項,見其他登記事項,105年11月4日,七層,
RPQNMLSKQHMFFDT77CA,20,81.90,見其他登記事項,鋼筋混凝土造,86年3月22日,十七層,五層
RPQNMLSKQHMFFDT77CA,20,14.67,見其他登記事項,鋼筋混凝土造,86年3月22日,十七層,
RPQNMLSKQHMFFDT77CA,20,13.75,見其他登記事項,鋼筋混凝土造,86年3月22日,十七層,
RPTNMLTLQHMFFCT18CA,1,37.38,見其他登記事項,見其他登記事項,105年11月4日,七層,三層
RPTNMLTLQHMFFCT18CA,1,22.14,見其他登記事項,見其他登記事項,105年11月4日,七層,
RPQNMLLKQHMFFCT96CA,35,86.42,住家用,鋼筋混凝土造,71年11月30日,五層,五層
RPPNMLNLQHMFFFT47CA,22,226.57,住家用,鋼筋混凝土造,84年7月10日,三層,一層 二層 三層
RPWOMLOJRHMFFDT08CA,32,101.85,住宅,鋼筋混凝土造,74年1月28日,三層,一層 二層 三層
RPVNMLOLQHMFFET08CA,10,213.33,住家用,鋼筋混凝土造,96年8月31日,三層,一層 二層 三層
RPXNMLOKQHMFFAT87DA,18,46.99,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,二層
RPXNMLOKQHMFFAT87DA,18,14.40,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPVNMLLKQHMFFCT47CA,40,118.20,住商用,加強磚造,66年7月19日,三層,一層 二層 三層 騎樓
RPPNMLMLQHMFFDT17CA,,113.66,住宅,鋼筋混凝土構造,106年3月1日,三層,一層 二層 三層 屋頂突出物
RPPNMLMLQHMFFDT17CA,,113.66,住宅,鋼筋混凝土構造,106年3月1日,三層,一層 二層 三層 屋頂突出物
